get_fen                       | encode_board_to_huffman       | encode_board_to_huffman_symme | encode_board_to_huffman_best_ | encode_board_to_huffman_defau | encode_board_to_huffman_piece | 
57.116089613034625            | 17.566658137154555            | 16.51457910750507             | 14.72937881873727             | 16.925227732793523            | 18.76860346585117             | 
56.5873340143003              | 17.4375                       | 16.525936234817813            | 14.846954314720811            | 16.84431818181818             | 18.88045131845842             | 
56.92987804878049             | 17.381243628950052            | 16.520239307535643            | 14.845219836400817            | 17.113682604272636            | 18.420731707317074            | 
56.8640081799591              | 17.40388496468214             | 16.665946083418106            | 14.910312180143295            | 17.01740345528455             | 18.749746450304258            | 
56.874872838250255            | 17.444159836065573            | 16.56256371049949             | 14.914420142421159            | 16.746573604060913            | 18.716990788126918            | 
56.832317073170735            | 17.432926829268293            | 16.61769230769231             | 14.742013184584179            | 16.897367075664622            | 18.846881390593047            | 
56.19551934826884             | 17.557799796747968            | 16.67002551020408             | 14.764187116564417            | 16.91184749232344             | 18.47239263803681             | 
56.55                         | 17.395641025641027            | 16.73789500509684             | 14.716870540265036            | 16.99237029501526             | 18.75669868554095             | 
56.69826707441386             | 17.48009634888438             | 16.40752032520325             | 14.886607142857143            | 17.072641987829616            | 18.745517418032787            | 
56.40793489318413             | 17.250509683995922            | 16.45631313131313             | 14.665987780040734            | 16.864086294416243            | 18.7484693877551              | 
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
56.70562210833624             | 17.43504202513899             | 16.567871072328572            | 14.802195105673485            | 16.938551872347897            | 18.710648325001657            | 
